Designator,Mid X,Mid Y,Rotation,Layer
C1,-275.433,-22.7795,180.0,bottom
C10,-278.7,-17.675,180.0,top
C11,-275.433,-20.654,0.0,bottom
C12,-275.433,-41.482,0.0,bottom
C2,-264.043,-20.781,0.0,bottom
C3,-285.8,-19.675,90.0,top
C4,-275.433,-43.514,180.0,bottom
C5,-264.05,-41.228,0.0,bottom
C6,-285.8,-51.475,90.0,top
C7,-278.8,-53.275,0.0,top
C8,-264.043,-24.891,0.0,bottom
C9,-264.05,-45.342,0.0,bottom
D1,-271.542,-29.769,0.0,bottom
D2,-271.542,-27.766,0.0,bottom
D3,-271.415,-48.753,0.0,bottom
D4,-271.415,-50.753,0.0,bottom
J1,-264.75,-24.875,0.0,top
J2,-264.775,-45.875,0.0,top
J3,-284.53,-35.255,0.0,top
R1,-275.413,-28.9425,0.0,bottom
R2,-264.063,-22.813,0.0,bottom
R3,-275.413,-24.875,180.0,bottom
R4,-275.413,-26.877,0.0,bottom
R5,-275.413,-49.61,0.0,bottom
R6,-264.07,-43.275,0.0,bottom
R7,-275.413,-45.546,180.0,bottom
R8,-275.413,-47.578,0.0,bottom
U1,-269.719,-22.432,90.0,bottom
U2,-269.725,-43.387,90.0,bottom
